%
% Comments go after a '%' sign.
%
%
% Relation: 18F0269
%
%
% Attributes: 8     Instances: 8820
%
%

@relation 18F0269

@attribute 'command' numeric
@attribute 'extradata' numeric
@attribute 'requirement' numeric
@attribute 'frame_window_start' numeric
@attribute 'frame_window_end' numeric
@attribute 'starting_frame' numeric
@attribute 'move' numeric
@attribute 'option' {'auto','manual'}

@data
144,2,38,42,42,42,327,'manual'
584,2,32,42,42,42,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
32768,0,0,33,32767,33,32772,'manual'
32768,0,0,33,32767,33,32772,'manual'
32768,0,0,33,32767,33,32772,'manual'
32768,0,0,33,32767,33,32772,'manual'
32768,0,0,37,32767,37,32776,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,25,1,2168,'auto'
0,0,12,1,25,1,2175,'auto'
0,0,7,1,25,1,2173,'auto'
0,0,17,1,25,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,25,1,2168,'auto'
0,0,12,1,25,1,2175,'auto'
0,0,7,1,25,1,2173,'auto'
0,0,17,1,25,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
144,3,40,52,52,52,342,'manual'
144,4,0,52,52,52,341,'manual'
584,3,0,52,52,52,343,'manual'
32768,5,0,59,32767,59,32776,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,17,1,37,1,2171,'auto'
144,2,32,52,52,52,345,'manual'
144,2,34,52,52,52,32787,'manual'
144,2,36,52,52,52,323,'manual'
144,2,38,52,52,52,327,'manual'
584,2,32,52,52,52,347,'manual'
32768,0,0,59,32767,59,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
144,7,40,43,43,43,342,'manual'
144,8,0,43,43,43,341,'manual'
584,7,0,43,43,43,343,'manual'
32768,9,0,50,32767,50,32780,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
144,7,40,43,43,43,342,'manual'
144,8,0,43,43,43,341,'manual'
584,7,0,43,43,43,343,'manual'
32768,9,0,50,32767,50,32780,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
0,0,22,40,32767,50,32771,'auto'
144,2,32,43,43,43,345,'manual'
144,2,34,43,43,43,32787,'manual'
144,2,36,43,43,43,323,'manual'
144,2,38,43,43,43,327,'manual'
584,2,32,43,43,43,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,37,1,2168,'auto'
0,0,12,1,37,1,2175,'auto'
0,0,7,1,37,1,2173,'auto'
0,0,17,1,37,1,2171,'auto'
144,3,40,43,43,43,341,'manual'
144,4,0,43,43,43,342,'manual'
584,4,0,43,43,43,343,'manual'
32768,0,0,50,32767,50,32776,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,25,1,2168,'auto'
0,0,12,1,25,1,2175,'auto'
0,0,7,1,25,1,2173,'auto'
0,0,17,1,25,1,2171,'auto'
0,0,22,40,32767,70,32771,'auto'
144,2,32,49,49,49,345,'manual'
144,2,34,49,49,49,32787,'manual'
144,2,36,49,49,49,323,'manual'
144,2,38,49,49,49,327,'manual'
584,2,32,49,49,49,347,'manual'
32768,0,0,50,32767,50,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,32,1,2168,'auto'
0,0,12,1,32,1,2175,'auto'
0,0,7,1,32,1,2173,'auto'
0,0,17,1,32,1,2171,'auto'
32768,0,0,72,32767,72,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,32,1,2168,'auto'
0,0,12,1,32,1,2175,'auto'
0,0,7,1,32,1,2173,'auto'
0,0,17,1,32,1,2171,'auto'
32768,0,0,76,32767,76,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,32,1,2168,'auto'
0,0,12,1,32,1,2175,'auto'
0,0,7,1,32,1,2173,'auto'
0,0,17,1,32,1,2171,'auto'
32768,0,0,76,32767,76,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,30,1,2168,'auto'
0,0,12,1,30,1,2175,'auto'
0,0,7,1,30,1,2173,'auto'
0,0,17,1,30,1,2171,'auto'
32768,0,0,45,32767,45,32776,'manual'
0,0,42,1,32,1,2182,'auto'
0,0,52,1,32,1,2190,'auto'
0,0,62,1,32,1,2188,'auto'
0,0,72,1,32,1,2186,'auto'
0,0,82,1,32,1,2177,'auto'
0,0,88,1,32,1,2180,'auto'
0,0,94,1,32,1,2179,'auto'
0,0,100,1,32,1,2178,'auto'
0,0,2,1,32,1,2168,'auto'
0,0,12,1,32,1,2175,'auto'
0,0,7,1,32,1,2173,'auto'
0,0,17,1,32,1,2171,'auto'
32768,0,0,72,32767,72,32772,'manual'
0,0,2,1,35,1,2168,'auto'
0,0,12,1,35,1,2175,'auto'
0,0,7,1,35,1,2173,'auto'
0,0,17,1,35,1,2171,'auto'
0,0,22,40,32767,70,32771,'auto'
144,2,32,47,47,47,345,'manual'
144,2,34,47,47,47,32787,'manual'
144,2,36,47,47,47,323,'manual'
144,2,38,47,47,47,327,'manual'
584,2,32,47,47,47,347,'manual'
32768,0,0,65,32767,65,32772,'manual'
144,3,40,20,20,20,355,'manual'
144,4,0,20,20,20,355,'manual'
32768,0,0,55,32767,55,32778,'manual'
144,4,106,20,20,20,351,'manual'
144,4,0,20,20,20,357,'manual'
32768,0,0,55,32767,55,32772,'manual'
32768,5,0,0,0,0,32777,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,18,1,2168,'auto'
0,0,12,1,18,1,2175,'auto'
0,0,7,1,18,1,2173,'auto'
0,0,17,1,18,1,2171,'auto'
144,2,120,73,73,73,345,'manual'
144,2,123,73,73,73,32787,'manual'
144,2,126,73,73,73,323,'manual'
144,2,129,73,73,73,327,'manual'
584,2,120,73,73,73,347,'manual'
32768,0,0,90,32767,90,32772,'manual'
0,0,2,1,4,1,2177,'auto'
0,0,12,1,4,1,2180,'auto'
0,0,7,1,4,1,2179,'auto'
0,0,17,1,4,1,2178,'auto'
0,0,2,1,18,1,2168,'auto'
0,0,12,1,18,1,2175,'auto'
0,0,7,1,18,1,2173,'auto'
0,0,17,1,18,1,2171,'auto'
144,2,120,73,73,73,345,'manual'
144,2,123,73,73,73,32787,'manual'
144,2,126,73,73,73,323,'manual'
144,2,129,73,73,73,327,'manual'
584,2,120,73,73,73,347,'manual'
32768,0,0,90,32767,90,32772,'manual'
14,10,0,45,45,45,35,'manual'
32768,0,0,87,32767,87,32769,'manual'
32768,0,0,87,32767,87,32770,'manual'
0,11,134,9,9,9,38,'auto'
144,2,32,75,75,75,345,'manual'
144,2,34,75,75,75,32787,'manual'
144,2,36,75,75,75,323,'manual'
144,2,38,75,75,75,327,'manual'
584,2,32,75,75,75,347,'manual'
32768,0,0,85,32767,85,32772,'manual'
0,11,134,9,9,9,39,'auto'
144,3,40,65,65,65,341,'manual'
144,4,0,65,65,65,342,'manual'
584,4,0,65,65,65,343,'manual'
32768,0,0,73,32767,73,32776,'manual'
144,2,32,66,66,66,345,'manual'
144,2,34,66,66,66,32787,'manual'
144,2,36,66,66,66,323,'manual'
144,2,38,66,66,66,327,'manual'
584,2,32,66,66,66,347,'manual'
32768,0,0,76,32767,76,32775,'manual'
144,3,40,62,62,62,341,'manual'
144,4,0,62,62,62,342,'manual'
584,12,0,62,62,62,343,'manual'
32768,0,0,86,32767,86,32777,'manual'
0,11,134,9,9,9,38,'auto'
144,2,32,65,65,65,345,'manual'
144,2,34,65,65,65,32787,'manual'
144,2,36,65,65,65,323,'manual'
144,2,38,65,65,65,327,'manual'
584,2,32,65,65,65,347,'manual'
32768,0,0,73,32767,73,32772,'manual'
0,11,134,9,9,9,39,'auto'
144,3,40,65,65,65,341,'manual'
144,4,0,65,65,65,342,'manual'
584,4,0,65,65,65,343,'manual'
32768,0,0,73,32767,73,32776,'manual'
0,11,134,70,70,70,43,'auto'
32768,0,0,0,0,0,44,'manual'
144,2,32,70,70,70,345,'manual'
144,2,34,70,70,70,32787,'manual'
144,2,36,70,70,70,323,'manual'
144,2,38,70,70,70,327,'manual'
584,2,32,70,70,70,347,'manual'
32768,0,0,76,32767,76,32775,'manual'
144,2,32,65,65,65,345,'manual'
144,2,34,65,65,65,32787,'manual'
144,2,36,65,65,65,323,'manual'
144,2,38,65,65,65,327,'manual'
584,2,32,65,65,65,347,'manual'
32768,0,0,68,32767,68,32772,'manual'
0,11,134,70,70,70,46,'auto'
32768,0,0,0,0,0,47,'manual'
144,2,32,70,70,70,345,'manual'
144,2,34,70,70,70,32787,'manual'
144,2,36,70,70,70,323,'manual'
144,2,38,70,70,70,327,'manual'
584,2,32,70,70,70,347,'manual'
32768,0,0,76,32767,76,32775,'manual'
32768,0,0,86,32767,86,32777,'manual'
144,2,32,65,65,65,345,'manual'
144,2,34,65,65,65,32787,'manual'
144,2,36,65,65,65,323,'manual'
144,2,38,65,65,65,327,'manual'
584,2,32,65,65,65,347,'manual'
32768,0,0,68,32767,68,32772,'manual'
0,24,1105,1,32767,1,49,'auto'
32768,0,0,0,0,0,32815,'manual'
0,25,0,1,1,1,50,'auto'
32768,0,0,0,0,0,32769,'manual'
0,5,0,45,45,45,51,'auto'
32768,0,0,0,0,0,32769,'manual'
0,22,1108,1,1,1,32769,'auto'
32768,0,0,20,32767,20,32769,'manual'
4611686061377060864,13,155,1,32767,1,566,'manual'
4611686061377060864,13,157,1,32767,1,566,'manual'
4611686061377060864,13,229,1,32767,1,566,'manual'
4611686061377060864,13,1111,1,32767,1,566,'manual'
32779,0,0,0,0,143,1546,'manual'
32779,0,0,0,0,113,0,'manual'
32779,0,0,0,0,52,320,'manual'
0,22,1113,1,32767,1,32769,'auto'
4611686022722355200,20,1117,1,32767,1,1441,'manual'
4611686027017322496,15,1124,1,32767,1,1696,'manual'
4611686035607257088,20,1131,1,32767,1,1441,'manual'
4611686052787126272,13,1138,1,32767,1,1623,'manual'
4611686022722355200,20,1145,1,32767,1,1441,'manual'
4611686027017322496,13,1151,1,32767,1,1539,'manual'
32779,0,0,0,0,93,595,'manual'
32779,0,0,0,0,19,825,'manual'
4611686069966995520,13,0,1,32767,1,1652,'manual'
4611686069966995472,13,0,1,32767,1,1615,'manual'
4611686069966995488,13,0,1,32767,1,1623,'manual'
4611686035607257200,13,0,1,32767,1,1751,'manual'
32779,0,0,0,0,20,898,'manual'
32779,0,0,0,0,6,1332,'manual'
32779,0,0,0,0,8,1366,'manual'
4,0,0,1,32767,1,1832,'manual'
16,20,0,1,32767,1,1445,'manual'
32779,0,0,0,0,8,1254,'manual'
0,0,40,1,32767,1,32769,'auto'
0,0,1157,1,32767,1,32769,'auto'
32768,20,0,0,0,0,53,'manual'
4611686061377060864,13,155,1,32767,1,566,'manual'
4611686061377060864,13,157,1,32767,1,566,'manual'
4611686061377060864,13,229,1,32767,1,566,'manual'
4611686061377060864,13,1111,1,32767,1,566,'manual'
32779,0,0,0,0,143,1546,'manual'
32779,0,0,0,0,113,0,'manual'
32779,0,0,0,0,52,320,'manual'
0,22,1113,1,32767,1,32769,'auto'
4611686022722355200,20,1117,1,32767,1,1441,'manual'
4611686027017322496,15,1124,1,32767,1,1696,'manual'
4611686035607257088,20,1131,1,32767,1,1441,'manual'
4611686052787126272,13,1138,1,32767,1,1623,'manual'
4611686022722355200,20,1145,1,32767,1,1441,'manual'
4611686027017322496,13,1151,1,32767,1,1539,'manual'
32779,0,0,0,0,93,595,'manual'
4611686031312289824,13,1159,1,32767,1,56,'manual'
4611686031312289792,13,1162,1,32767,1,56,'manual'
32779,0,0,0,0,19,825,'manual'
4611686069966995520,13,0,1,32767,1,1652,'manual'
4611686069966995472,13,0,1,32767,1,1615,'manual'
4611686069966995488,13,0,1,32767,1,1623,'manual'
4611686035607257200,13,0,1,32767,1,1751,'manual'
4611686052787126384,13,0,1,32767,1,58,'manual'
32779,0,0,0,0,20,898,'manual'
32779,0,0,0,0,6,1332,'manual'
32779,0,0,0,0,8,1366,'manual'
16,20,0,1,32767,1,1445,'manual'
32779,0,0,0,0,8,1254,'manual'
0,0,40,1,32767,1,32769,'auto'
0,0,1165,1,32767,1,212,'auto'
0,0,1167,1,32767,1,32769,'auto'
0,13,1170,1,32767,1,1750,'auto'
32768,20,0,0,0,0,54,'manual'
4611686061377060864,13,155,1,32767,1,566,'manual'
4611686061377060864,13,157,1,32767,1,566,'manual'
4611686061377060864,13,229,1,32767,1,566,'manual'
4611686061377060864,13,1111,1,32767,1,566,'manual'
32779,0,0,0,0,143,1546,'manual'
32779,0,0,0,0,113,0,'manual'
32779,0,0,0,0,52,320,'manual'
0,22,1113,1,32767,1,32769,'auto'
4611686022722355200,20,1117,1,32767,1,1441,'manual'
4611686027017322496,15,1124,1,32767,1,1696,'manual'
4611686035607257088,20,1131,1,32767,1,1441,'manual'
4611686052787126272,13,1138,1,32767,1,1623,'manual'
4611686022722355200,20,1145,1,32767,1,1441,'manual'
4611686027017322496,13,1151,1,32767,1,1539,'manual'
32779,0,0,0,0,93,595,'manual'
4611686031312289824,13,1159,1,32767,1,56,'manual'
4611686031312289792,13,1162,1,32767,1,56,'manual'
32779,0,0,0,0,19,825,'manual'
4611686069966995520,13,0,1,32767,1,1652,'manual'
4611686069966995472,13,0,1,32767,1,1615,'manual'
4611686069966995488,13,0,1,32767,1,1623,'manual'
4611686035607257200,13,0,1,32767,1,1751,'manual'
4611686052787126384,13,0,1,32767,1,58,'manual'
32779,0,0,0,0,20,898,'manual'
32779,0,0,0,0,6,1332,'manual'
32779,0,0,0,0,8,1366,'manual'
16,20,0,1,32767,1,1445,'manual'
32779,0,0,0,0,8,1254,'manual'
0,0,40,1,32767,1,32769,'auto'
0,0,1165,1,32767,1,212,'auto'
0,0,1173,1,32767,1,32769,'auto'
0,16,1176,1,32767,1,209,'auto'
32768,20,0,0,0,0,55,'manual'
4611686061377060864,13,155,1,32767,1,566,'manual'
4611686061377060864,13,157,1,32767,1,566,'manual'
4611686061377060864,13,229,1,32767,1,566,'manual'
4611686061377060864,13,1111,1,32767,1,566,'manual'
32779,0,0,0,0,143,1546,'manual'
32779,0,0,0,0,113,0,'manual'
32779,0,0,0,0,52,320,'manual'
0,22,1113,1,32767,1,32769,'auto'
4611686022722355200,20,1117,1,32767,1,1441,'manual'
4611686027017322496,15,1124,1,32767,1,1696,'manual'
4611686035607257088,20,1131,1,32767,1,1441,'manual'
4611686052787126272,13,1138,1,32767,1,1623,'manual'
4611686022722355200,20,1145,1,32767,1,1441,'manual'
4611686027017322496,13,1151,1,32767,1,1539,'manual'
32779,0,0,0,0,93,595,'manual'
4611686031312289824,13,0,1,32767,1,56,'manual'
32779,0,0,0,0,19,825,'manual'
4611686069966995520,13,0,1,32767,1,1652,'manual'
4611686069966995472,13,0,1,32767,1,1615,'manual'
4611686069966995488,13,0,1,32767,1,1623,'manual'
4611686035607257200,13,0,1,32767,1,1751,'manual'
4611686052787126384,13,0,1,32767,1,58,'manual'
32779,0,0,0,0,20,898,'manual'
32779,0,0,0,0,6,1332,'manual'
32779,0,0,0,0,8,1366,'manual'
16,20,0,1,32767,1,1445,'manual'
32779,0,0,0,0,8,1254,'manual'
0,0,40,1,32767,1,32769,'auto'
0,0,1165,1,32767,1,212,'auto'
0,16,1176,1,32767,1,209,'auto'
32768,20,0,0,0,0,54,'manual'
32768,0,0,77,32767,77,32769,'manual'
0,22,1179,1,2,1,32769,'auto'
0,22,1186,1,2,1,32769,'auto'
0,22,1193,1,2,1,32769,'auto'
32779,0,0,0,0,3,1519,'manual'
32768,0,0,59,32767,59,32769,'manual'
32768,0,0,70,32767,70,32774,'manual'
4611686048492159232,15,313,1,8,1,2131,'manual'
4611686057082093824,15,315,1,8,1,673,'manual'
4611686057082093824,15,317,1,8,1,674,'manual'
4611686057082093824,15,319,1,8,1,675,'manual'
4611686057082093824,15,321,1,8,1,676,'manual'
4611686057082093824,15,323,1,8,1,677,'manual'
4611686057082093824,15,325,1,8,1,678,'manual'
4611686057082093824,15,327,1,8,1,679,'manual'
4611686057082093824,15,329,1,8,1,680,'manual'
4611686057082093824,15,331,1,8,1,681,'manual'
4611686057082093824,15,333,1,8,1,682,'manual'
4611686057082093824,15,335,1,8,1,683,'manual'
4611686057082093824,15,337,1,8,1,684,'manual'
4611686057082093824,15,339,1,8,1,685,'manual'
4611686057082093824,15,341,1,8,1,686,'manual'
4611686057082093824,15,343,1,8,1,687,'manual'
4611686057082093824,15,345,1,8,1,688,'manual'
4611686057082093824,15,347,1,8,1,689,'manual'
4611686057082093824,15,349,1,8,1,696,'manual'
4611686057082093824,15,351,1,8,1,703,'manual'
4611686057082093824,15,353,1,8,1,710,'manual'
4611686057082093824,15,355,1,8,1,711,'manual'
4611686057082093824,15,357,1,8,1,712,'manual'
4611686057082093824,15,359,1,8,1,713,'manual'
4611686057082093824,15,361,1,8,1,714,'manual'
4611686057082093824,15,363,1,8,1,716,'manual'
4611686057082093824,15,365,1,8,1,719,'manual'
4611686057082093824,0,367,1,8,1,721,'manual'
4611686057082093824,15,369,1,8,1,761,'manual'
4611686044197191936,15,371,1,8,1,722,'manual'
4611686044197191936,15,373,1,8,1,725,'manual'
4611686044197191936,15,375,1,8,1,726,'manual'
4611686044197191936,15,377,1,8,1,727,'manual'
4611686044197191936,15,379,1,8,1,728,'manual'
4611686044197191936,15,381,1,8,1,729,'manual'
4611686044197191936,15,383,1,8,1,730,'manual'
4611686044197191936,15,385,1,8,1,731,'manual'
4611686044197191936,15,387,1,8,1,732,'manual'
4611686044197191936,15,389,1,8,1,733,'manual'
4611686044197191936,15,391,1,8,1,734,'manual'
4611686044197191936,15,393,1,8,1,735,'manual'
4611686044197191936,15,395,1,8,1,741,'manual'
4611686044197191936,15,397,1,8,1,742,'manual'
4611686044197191936,15,399,1,8,1,743,'manual'
4611686044197191936,15,401,1,8,1,744,'manual'
4611686044197191936,15,403,1,8,1,745,'manual'
4611686044197191936,15,405,1,8,1,746,'manual'
4611686044197191936,15,407,1,8,1,747,'manual'
4611686044197191936,15,409,1,8,1,748,'manual'
4611686044197191936,15,411,1,8,1,749,'manual'
4611686044197191936,15,413,1,8,1,715,'manual'
4611686044197191936,0,415,1,8,1,751,'manual'
4611686044197191936,15,417,1,8,1,754,'manual'
4611686057082093824,15,419,1,8,1,667,'manual'
4611686069966995456,26,1200,1,8,1,1634,'manual'
4611686069966995456,26,1204,1,8,1,1670,'manual'
4611686069966995456,20,1208,1,8,1,1623,'manual'
4611686069966995456,20,1211,1,8,1,1692,'manual'
4611686022722355776,27,40,1,8,1,1500,'manual'
4611686022722355344,27,40,1,8,1,1501,'manual'
4611686022722355200,27,40,1,8,1,1499,'manual'
4611686027017323072,18,40,1,8,8,1503,'manual'
4611686027017322640,18,40,1,8,8,1504,'manual'
4611686027017322496,28,40,1,8,8,1502,'manual'
4611686035607257664,17,40,1,8,8,1513,'manual'
4611686035607257232,17,40,1,8,8,1514,'manual'
4611686035607257088,17,40,1,8,8,1512,'manual'
4611686052787126848,17,40,1,8,8,1535,'manual'
4611686052787126416,17,40,1,8,8,1536,'manual'
4611686052787126272,17,40,1,8,8,1534,'manual'
4611686031312290368,10,0,1,8,1,1854,'manual'
4611686069966996032,10,0,1,8,1,1510,'manual'
4611686031312289936,10,0,1,8,1,1826,'manual'
4611686069966995600,10,0,1,8,1,1511,'manual'
4611686031312289792,10,0,1,8,1,1487,'manual'
4611686069966995456,10,0,1,8,1,1509,'manual'
4611686022722355776,10,0,1,8,1,1488,'manual'
4611686035607257664,10,0,1,8,1,1510,'manual'
4611686052787126848,10,0,1,8,1,1539,'manual'
4611686022722355344,10,0,1,8,1,1489,'manual'
4611686035607257232,10,0,1,8,1,1511,'manual'
4611686052787126416,10,0,1,8,1,1524,'manual'
4611686022722355200,10,0,1,8,1,1487,'manual'
4611686022722355200,15,0,1,15,15,1490,'manual'
4611686022722355200,15,0,1,23,23,1493,'manual'
4611686022722355200,15,0,1,31,31,1496,'manual'
4611686027017322496,29,302,1,8,1,219,'manual'
4611686027017322496,13,1214,1,8,1,219,'manual'
4611686027017322496,29,421,1,8,1,219,'manual'
4611686027017322496,15,0,1,31,31,1505,'manual'
4611686035607257088,10,0,1,8,1,1509,'manual'
4611686035607257088,15,0,1,15,15,1515,'manual'
4611686035607257088,15,0,1,23,23,1518,'manual'
4611686035607257088,15,0,1,31,31,1521,'manual'
4611686052787126272,10,0,1,8,1,1537,'manual'
4611686052787126272,15,0,1,15,15,1525,'manual'
4611686052787126272,15,0,1,23,23,1528,'manual'
4611686052787126272,15,0,1,31,31,1531,'manual'
32779,0,0,0,0,20,1387,'manual'
32779,0,0,0,0,13,1426,'manual'
32779,0,0,0,0,73,1445,'manual'
32768,0,0,46,32767,46,32769,'manual'
4611686022722355776,27,40,1,8,1,1500,'manual'
4611686022722355344,27,40,1,8,1,1501,'manual'
4611686022722355200,27,40,1,8,1,1499,'manual'
4611686027017323072,18,40,1,8,8,1503,'manual'
4611686027017322640,18,40,1,8,8,1504,'manual'
4611686027017322496,28,40,1,8,8,1502,'manual'
4611686035607257664,17,40,1,8,8,1513,'manual'
4611686035607257232,17,40,1,8,8,1514,'manual'
4611686035607257088,17,40,1,8,8,1512,'manual'
4611686052787126848,17,40,1,8,8,1535,'manual'
4611686052787126416,17,40,1,8,8,1524,'manual'
4611686052787126272,17,40,1,8,8,1534,'manual'
4611686031312290368,10,0,1,8,1,1854,'manual'
4611686069966996032,10,0,1,8,1,1510,'manual'
4611686031312289936,10,0,1,8,1,1826,'manual'
4611686069966995600,10,0,1,8,1,1511,'manual'
4611686031312289792,10,0,1,8,1,1487,'manual'
4611686069966995456,10,0,1,8,1,1509,'manual'
4611686022722355776,10,0,1,8,1,1488,'manual'
4611686035607257664,10,0,1,8,1,1510,'manual'
